Topic,Count,Name,Representation,Representative_Docs
-1,81209,-1_không_có_neutral_mà,"['không', 'có', 'neutral', 'mà', 'mua', 'nó', 'con', 'cái', 'máy', 'dùng']","['điện thoại rẻ tiền mới sài màn hình phẳng ông ơi cao cấp giờ toàn màn hình cong rồi chỉ còn mỗi iphone vẫn dùng màn hình phẳng mấy con điện thoại rẻ tiền thôi', 'chào chú dương cmt con khá dài mong chú đọc hết ạ con đang xài s22 khoảng 3 năm rồi hiện con chơi liên quân seting cao max có hiện tượng log fps chơi vài phút máy nhanh nóng khó chịu năm nay con có nhu cầu đời chuyển sang iphone tầm giá 24 25 triệu trở con cần 1 con máy có hiệu năng tốt màn hình to khoảng 6 7 trở vì trc xài màn 6 1 con xài màn hình 6 7 chơi game bấm mượt mà mà sau xài màn 6 1 con chơi liên quân thấy bấm khá delay khựng khó vuốt chiêu con có mượn xài thử 13 pro màn cũng 6 1 cũng khựng con màn 120hz nhiệt độ không nóng quá mức khó chịu con 8gen1 nhu cầu con chơi game nặng liên quân 120fps genshin impact max seting lâu dài khoảng 2 3 năm thương hiệu ưu tiên samsung iphone nếu ưu tiên đời mới ạ con cảm ơn chú dương đọc hết cmt chúc chú sức khỏe ạ', 'vx cả xiaomi nhái ip hđh hyper màn oled 120hz xiaomi méo thấy lỗi bao giờ ip lỗi lỗi ip gần đây con 12 con 14 còn ngon chứ mấy con khác chán vler chả có mé gì khác xiaomi nó ra liên tục dòng mọi giá tiền đều mua dùng 2 con xiaomi redmi 10 10c 1 con ip 12 nói thật 2 con xiaomi dùng 3 năm rưỡi rồi chưa hư hỏng thay thế cm gì pin vẫn hiệu năng chỉ có lúc chuyển hyper pin tụt thêm chút chơi game vẫn nhẹ nhàng hồi mua có 3tr1 1 máy xiaomi thôi à']"
0,27442,0_pro_15_16_14,"['pro', '15', '16', '14', '13', '17', 'note', 'mua', 'hơn', 'max']","['11 pro max có nên 15 pro max không anh em', 'viền màn hình iphone 17 pro max mỏng hơn iphone 16 pro max anh nhìn qua video cũng thấy', 'e tính mua iphone 17 pro max nhưng e thấy iphone 17 pro max năm nay giống a dương nói nó nâng cấp không so iphone 16 pro max năm ngoái nên e chờ năm sau mua luôn iphone 18 pro max']"
1,14132,1_s23_ultra_s24_s25,"['s23', 'ultra', 's24', 's25', 's23u', 'hơn', 's24u', 'dùng', 'không', 's22']","['s23 có không b', 'cam con thấy vẫn ổn hơn s24 ultra mà', 'cần bài so sánh samsung s23 ultra để mua s23 ultra neutral']"
2,7907,2_bác_không_đâu_mà,"['bác', 'không', 'đâu', 'mà', 'gì', 'nói', 'có', 'mua', 'rồi', 'ơn']","['MENTION_vivantam5191 đâu cần thiết phải thế đâu thể hiện gì tưởng ngon ng ta sai nói góp ý bày vẽ', 'trải cái gì ăn m tiền rồi MENTION_realvatvostudio', 'MENTION_vinhxo69 cảm ơn nhưng dù sao cũng muốn làm bài so sánh']"
3,5626,3_iphone_android_apple_ip,"['iphone', 'android', 'apple', 'ip', 'samsung', 'người', 'dùng', 'nó', 'không', 'có']","['lmao so sao làm iphone bị ép ios cao đ giật không bằng cái chuyện ổn định sau năm sử dụng chỉ câu chuyện quá khứ thôi chứ giờ chip android có tã xưa đ đâu cần sau vài năm chỉ cần chuyển sang 1 con rom cook khác lại mượt mới suốt ngày thủ dâm sản phẩm bố apple biết thế l nào đm downgrade ios còn đ sản phẩm đảm bảo an toàn người dùng bằng cách chặt tay người dùng mà mấy thằng ngu cứ mê đắm mê đuối đm cái văn sau 3 4 năm giờ nó chối vẫn có thằng lôi ra sử dụng bảo iphone tích hợp làm việc hệ điều hành dễ sử dụng hệ sinh thái tiện lợi còn hợp lý chứ bú cái màn 60hz cái công nghệ sạc siêu nhanh sạc lú mẹ đầu rồi lôi mấy cái lý do đ thể ngửi mà cái tiền m mua iphone dùng 4 năm 4 năm bố đổi 2 cái điện thoại chả hơn cái iphone m à', 'iphone nhất đang dùng samsung nhưng phải nói thật iphone nó quá tốt không phải tự nhiên mà người dùng chuộng iphone hơn mấy con flaship android chỉ cái mã thông số khoe đống nhưng thực tế người dùng cơ bản không quan tâm', 'flagship android ip ip không có tủi chứ không thọt người nghĩ sự khác biệt giữa flagship android iphone nhấn mạnh điện thoại android cao cấp thường mang lại tiện ích tính năng vượt trội hơn so iphone 1 tiện ích tính năng flagship android thường có tính năng thông minh tiện ích hơn camera cảm biến tốt hơn màn hình chất lượng cao hơn khả năng đa nhiệm mạnh mẽ đặc biệt tác vụ phức tạp chơi game xử lý file 2 camera màn hình cảm biến camera android thường vượt trội hơn iphone khả năng chụp ảnh chân thực hơn người dùng iphone lại chuộng ứng dụng chỉnh sửa ảnh khiến màu sắc sai lệch so thực tế 3 sạc pin hiệu năng pin android có tốc độ sạc nhanh khả năng chống chai pin tốt hơn iphone iphone có tốc độ sạc chậm pin dễ bị chai thời gian 4 khả năng đa nhiệm quản lý file android có khả năng đa nhiệm tốt hơn không bị gián đoạn chuyển đổi giữa ứng dụng iphone có xu hướng đóng băng ứng dụng chuyển đổi gây khó khăn xử lý tác vụ đa nhiệm 5 thương hiệu tâm lý người dùng iphone ưa chuộng bởi thương hiệu sự ổn định hệ sinh thái apple nhưng phần lớn người dùng chỉ chọn iphone vì thói quen tâm lý đám đông mà không tìm hiểu kỹ ưu điểm android 6 thị trường kinh doanh iphone cũ dễ sửa dễ dựng lại buôn bán có lãi hơn so android do nguồn linh kiện phong phú thị trường sẵn có dẫn việc cửa hàng tập trung vào việc kinh doanh iphone hơn 7 so sánh không công bằng android cao cấp thường bị so sánh iphone người dùng lại hay so mẫu android tầm trung giá rẻ khiến android bị đánh giá thấp hơn không công bằng nhìn chung flagship android mang lại giá trị hơn iphone nhưng lại công nhận vì quan niệm sai lệch người dùng thị trường']"
4,4532,4_neutral_tiền_không_có,"['neutral', 'tiền', 'không', 'có', 'mà', 'mua', 'cái', 'thế', 'ông', 'ai']","['nghe nói neutral neutral neutral neutral', 'anh ở tỉnh nào thế neutral neutral neutral neutral neutral neutral neutral neutral neutral', 'vẫn không mua neutral neutral neutral neutral']"
5,4300,5_video_camera_chụp_review,"['video', 'camera', 'chụp', 'review', 'ảnh', 'kênh', 'quay', 'xem', 'cái', 'không']","['ế video', 'cụm camera sau không thấy nói so quay phim chụp hình xem con nào hơn', 'làm quay video']"
6,3928,6_may_co_ban_quá,"['may', 'co', 'ban', 'quá', 'đầu', 'ơi', 'la', 'nói', 'bác', 'nha']","['che vi may không co tien mua gi', 'e hoi may không co ram quốc tế dung may co vấn de j không a', 'anh nói quá đúng']"
7,2804,7_sạc_pin_nhanh_không,"['sạc', 'pin', 'nhanh', 'không', 'dùng', 'game', 'ngày', 'máy', 'chơi', 'tiếng']","['thật sự cá nhân sài iphone hiện không cần sạc nhanh luôn đang dùng con 14 plus cả ngày chỉ cắm sạc đúng 1 lần lúc trước ngủ luôn dùng củ 5w apple tất nhiên bỏ ra hơn 20 củ mua con đt việc đòi hỏi có tính năng sạc nhanh bình thường nhưng thật sự không có nó cũng không sao do gần không bao giờ sạc nhanh', 'thế đâu cũng phải mang con sạc nó chứ sạc yếu không sạc', 'có 1 điều ng không biết pin ip kém hơn pin sam sung appel cố tình làm pin kém pin mất nhanh vãi dù sạc dùng dùng biết pin ip kém hơn samsung nhanh mất hơn chụp ảnh ip kém hơn samsung bắt sóng kém hơn samsung vào nhà kín nhưng ip nhanh có cột sóng hơn quan trọng nhất ip sạc nóng hơn samsung ip dùng pin lâu hơn nhưng mất nhanh ip 60 ngày 3 ngày sạc 2 lần mà còn 99 chì để nghe gọi không chụp ảnh hay quay video v v ip nó sạc 20p đầu nóng bỏng samsung nóng ng không biết cứ kêu do cục sạc đểu nóng neutral neutral chì 1 cách dùng sạc nào cũng thế pin 15 20 sạc 10 15p đầu nóng bỏng đừng ngu mà sạc tiếp rút ra đợi 5p nguội máy rồi sạc lần 2 không nóng sạc ip nên sạc 2 lần 10 20 90 đừng cố chấp sạc 1 lần nỗi máy bỏng dãy giữ máy thế mà 60 ngày tụt còn 99 để nghĩ xem còn gì cảm nhận thử nghiên cứu xem sam sung sạc nhanh hơn ip nhưng lại tụt pin nhanh sạc 100 12h đêm 10 trưa ip 99 ss 95 để nghĩ xem còn gì mượt không chênh nhau mấy ah đúng rồi cảm ứng vân tay sam sung cùi face id cùi không ngon ip face id ip hơn ss']"
8,2645,8_fold_flip_gập_n3,"['fold', 'flip', 'gập', 'n3', 'find', 'màn', 'n5', 'dùng', 'zfold', 'không']","['minh xài fold 2 fold 3 thích xài fold chỉ xài 2 dt nên túi quần cộm dày nên sau thời gian phải s23 thường mỏng nếu fold 7 có pin trâu hơn mỏng hơn chắc chắn đổi fold tiếp', 'trước e fold 3 chuyển qua oppo find n3 nhìn con z fold 6 thế cũng thấy con find n3 vẫn ngon hơn chán neutral chưa có lý do để quay lại samsung neutral', 'dùng fold 2 rồi h chỉ có fold thôi chứ không dùng đt thường']"
